participant_id,scenario_code,complexity_class,scenario_index,started_at,completed_at,total_turns,total_elapsed_s,attempt_number,l1_syntax_ok,l1_api_valid,exec_pass_rate,eval_behavioral_match,eval_confidence,eval_code_correct,sandbox_all_pass,evaluator_1,evaluator_2,oracle_consensus,success
user_0042,S2,C1,3,2026-03-25T08:59:05.881380+00:00,2026-03-25T08:59:05.896316+00:00,4,55.53,1,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0042,M2,C2,4,2026-03-25T08:59:32.201881+00:00,2026-03-25T08:59:32.217817+00:00,4,62.23,1,1,1,,matches_completely,3,,,correct,correct,partially,correct
user_0042,C2,C3,5,2026-03-25T09:00:12.802752+00:00,2026-03-25T09:00:12.818034+00:00,4,51.28,1,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0043,S1,C1,0,2026-03-25T08:41:34.937444+00:00,2026-03-25T08:41:34.955531+00:00,4,53.64,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0043,M1,C2,1,2026-03-25T08:44:46.472850+00:00,2026-03-25T08:44:46.491237+00:00,7,20.0,2,1,1,,does_not_match,1,,,incorrect,incorrect,matches_completely,incorrect
user_0043,C1,C3,2,2026-03-25T08:47:37.523690+00:00,2026-03-25T08:47:37.541756+00:00,4,37.02,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0043,S2,C1,3,2026-03-25T08:48:37.358736+00:00,2026-03-25T08:48:37.382190+00:00,4,74.22,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0043,M2,C2,4,2026-03-25T08:50:58.096819+00:00,2026-03-25T08:50:58.113793+00:00,4,80.02,1,1,1,,matches_completely,5,,,correct,correct,partially,correct
user_0043,C2,C3,5,2026-03-25T08:52:49.054741+00:00,2026-03-25T08:52:49.071381+00:00,8,120.05,2,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0045,S1,C1,0,2026-03-25T08:41:50.404174+00:00,2026-03-25T08:41:50.428519+00:00,7,66.89,2,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0045,M1,C2,1,2026-03-25T08:44:07.399216+00:00,2026-03-25T08:44:07.415316+00:00,4,20.0,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0045,C1,C3,2,2026-03-25T08:45:24.181055+00:00,2026-03-25T08:45:24.197620+00:00,4,45.2,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
